Chinese Balloon;knuckles/3|gruntilda/11|banjo/1
Lurker;helper/26|propane/3|blinx/7|brownbricks/450|goku/1|shadow/1|aniki/3|jevil/4|dave/8|yiik/1|grotesquesteve/1|darkmetaknight/12
Garfy;garfield/3
Feely;wheeliemotobug/1|mothmansmt/3|prinny/1|carb/3|kermitthefrog/2|flipnote-frog/6|chuchu/1|ditto/1|omochao/1
Scott Lark;sonic/1|shadow/1|princevegeta/1|kc_tonysoprano/10
Wolpertinger;earthworm_jim/2|princevegeta/1|curlybrace/1|scratch/1|emerl/5|ranger/4|gooper/2|heady/1|peppino/1|sirdan/2|klonoa_lunatea/1|vibri/15|protosally/2|fang/4|baba/9|plague/6|popuko/2|sue/43|nanachi/50|cream/1|sparkster/1|egg.scarlet/146
Grugbotnik;aosthrobotnik/81|grotesquesteve/2|sonic/1|goku/1
Coombro;agent_rouge/785|sonic/1|grotesquesteve/1
retard on mobile;yamiyugien/26|mk64mario/28|mk64dk/1
Onyo;chuchu/2|meowscarada/2|klonoa_lunatea/81|sonic/1|carb/1|hornets/4|raboot/13|kino/35|goku/1
test;sonic/9
retard;ditto/5|knuckles/7|courage/2|robosonic/1|crashbandicoot/2|gex/1|yamiyugien/30|superhangon/1|kingdeedeedee/1|dantekrt/2|slds/1|arrowhead/3|mecha/3|mk64mario/15|solaire/1|cacodemon/2|crono/1|mk64toad/52|emerl/4|chocobo/2|bandana_dee/4|pikachu/2|grounder/1|erikasamoto/1|doomimp/4|bomberman/2|drybonerc/5|doom/1|megamanx/4|superluigi/1|piccolo/1|falco/13|metalsonic/4|garfield/2|prinny/1|boomer/1|chainchomp/1|hank/5|dave/1|hotel/3|sonic/218|flipnote-frog/1|metalslug/4|mk64dk/83|sksonic/1|scorpionmk2/27|gceara/1|atomic_bomberman/2
Andr3x;crono/7|travis/2
Poopfeast420;chocobo/1|pikachu/1|darkmetaknight/1|etna/3|drybonerc/1|carb/1
Coomer;ditto/5|flipnote-frog/2|hatapon/4|bubblun/2|gex/3
asdasd;helper/91|mactonight/2|klonoa_lunatea/17|sketchog/7|grounder/24|flonne/11|kermitthefrog/20|sparkster/1|shantae/42|moomin/29|doomimp/7|mk64mario/38|moai/5|sdhornet/1
