D;0;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Sandy Claws;19;4;14;6;10;4;0;12;0;1500;1456;1500;1500;1500;1500;1456;1500;1500;1500;1500;1500
Home;225;44;540;53;460;45;14;24;31;1713;1592;1500;1500;1500;1965;1631;1500;1500;1500;1500;1500
FrOnii;3;0;0;2;2;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
PheromosaFan;25;0;0;6;6;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Anonymous;8;0;5;3;5;0;1;0;0;1397;1500;1481;1500;1500;1503;1500;1500;1500;1500;1500;1500
Phones;9;0;0;0;0;0;0;0;0;1500;1500;1397;1500;1500;1500;1500;1500;1500;1500;1500;1500
RAPECHAD;54;2;128;12;109;12;13;4;7;1696;1500;1500;1500;1500;1918;1500;1500;1500;1500;1500;1500
NiggersDie;1;0;3;0;3;0;0;0;0;1444;1500;1500;1500;1500;1444;1500;1500;1500;1500;1500;1500
Jerry;6;0;2;4;8;2;0;0;0;1456;1438;1500;1500;1500;1456;1438;1500;1500;1500;1500;1500
Fucklenauts;12;0;13;3;13;1;3;1;0;1474;1500;1500;1500;1500;1474;1500;1500;1500;1500;1500;1500
Missing_Page;10;3;6;10;22;2;1;0;0;1347;1334;1500;1500;1500;1347;1334;1500;1500;1500;1500;1500
Soggoo;30;1;83;11;74;15;11;2;2;1534;1579;1500;1500;1500;1534;1579;1500;1500;1500;1500;1500
JerkiDBT;38;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
ImmenseMoods;5;0;21;5;28;1;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
DUMBASS;104;3;154;22;212;18;17;6;12;1552;1510;1461;1500;1500;1716;1510;1500;1500;1500;1500;1500
Nothing But Enjoy;475;10;790;157;955;206;62;19;22;1303;1368;1500;1500;1312;1332;1368;1500;1500;1312;1500;1500
sonic1234567891011213;71;2;1;3;4;0;0;2;0;1496;1500;1495;1500;1500;1500;1500;1500;1500;1500;1500;1500
Punished;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
randvids153;69;0;57;13;70;0;7;2;1;1256;1434;1482;1500;1500;1509;1500;1500;1500;1500;1500;1500
BadDragon2010;30;3;61;10;52;5;6;7;3;1788;1548;1500;1500;1500;1799;1548;1500;1500;1500;1500;1500
Tamers12345;2;0;4;1;4;1;0;0;0;1465;1500;1500;1500;1500;1465;1500;1500;1500;1500;1500;1500
Liquid-saturated;15;0;19;8;23;5;1;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Sonic;581;89;101;42;159;19;14;7;2;1114;1133;1500;1500;1500;1238;1133;1500;1500;1500;1500;1500
asdasd;97;1;19;10;33;3;0;0;1;1419;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
wawawahhh;1;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
Stu;3068;1113;9424;842;6089;1249;333;527;367;2360;2023;2223;1500;1741;2378;2058;2231;1500;1741;1716;1716
DEAD NIGGERS;30;6;91;10;81;6;4;4;9;1874;1500;1500;1500;1500;1951;1500;1500;1500;1500;1500;1500
Gray;4;0;0;0;0;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
im so fucking hard;1;1;0;1;1;0;0;0;0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
HELP;22;0;9;7;29;8;2;1;0;1500;1137;1500;1500;1500;1500;1137;1500;1500;1500;1500;1500
Lolicon;34;17;0;1;1;0;0;2;5;1500;1500;1424;1500;1500;1500;1500;1424;1500;1500;1500;1500
NO OVARIES;32;6;96;10;73;3;1;6;4;2023;1500;1500;1500;1500;2023;1500;1500;1500;1500;1500;1500
Splelps;707;107;571;106;575;107;43;29;34;1614;1571;1408;1500;1474;1670;1573;1408;1500;1500;1500;1500
Sockpuppet;27;0;9;10;15;1;0;0;0;1500;1382;1180;1500;1500;1500;1382;1180;1500;1500;1500;1500
anonman;28;0;31;9;48;9;4;0;0;1144;1474;1500;1500;1500;1144;1474;1500;1500;1500;1500;1500
San Marino GP 1994;5;0;8;2;7;2;0;0;0;1500;1371;1500;1500;1500;1500;1371;1500;1500;1500;1500;1500
